shipper,consignee,notify_party,draft_bill_of_lading,place_of_receipt,place_of_delivery,vessel_and_voyage,port_of_loading,port_of_discharge,marks_numbers,packages_description,gross_weight,measurement,cseal_no,sline_seal_no,invoice_no,dtd,dt,shipping_bill_no,net_weight,no_of_originals
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
ABC Ltd,XYZ Ltd,Notify Co.,BL123,Delhi,Mumbai,Vessel1,PortA,PortB,Marks1,Goods Description,500kg,1m3,CSeal1,SSeal1,INV001,2025-08-01,2025-08-02,SB001,450kg,3
DEF Ltd,LMN Ltd,Notify Pvt.,BL456,Chennai,Kolkata,Vessel2,PortC,PortD,Marks2,Goods Description2,600kg,2m3,CSeal2,SSeal2,INV002,2025-08-03,2025-08-04,SB002,550kg,2
